POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,
PF,52,33.0,18.8,7.3,14.8,49.5,1.2,2.9,39.2,3.0,3.6,82.9,7.5,2.4,0.6,1.6,1.4,14,0,19.96,
PF,45,30.5,18.7,6.4,15.2,42.0,2.4,6.7,35.1,3.6,4.6,78.2,9.2,1.6,0.7,1.9,1.6,19,0,19.26,
SF,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,6.4,1.5,1.3,0.7,1.5,9,0,15.04,
PF,57,28.2,18.6,7.6,13.1,57.9,0.0,0.3,0.0,3.4,5.3,64.0,7.0,1.7,0.7,1.1,1.8,10,0,22.73,
SF,49,32.1,18.6,6.3,14.3,44.0,2.6,6.0,43.1,3.4,4.1,82.2,5.3,1.4,0.8,0.5,1.7,3,0,15.73,
SF,55,32.2,18.5,7.4,14.1,52.8,1.1,3.0,37.2,2.5,3.1,80.3,3.8,1.4,1.2,0.5,1.2,0,0,17.45,
PF,55,34.5,18.3,7.3,13.5,54.0,0.3,1.1,23.7,3.5,4.8,73.0,12.5,4.9,0.7,0.5,2.7,44,4,20.84,
PG,48,26.2,18.0,7.3,15.1,48.5,0.9,3.0,29.9,2.5,2.9,86.9,2.4,5.7,0.8,0.3,2.5,4,0,20.77,
PG,57,35.0,17.6,5.6,15.1,37.3,3.4,9.2,36.6,3.0,3.7,81.5,3.5,7.6,0.9,0.3,2.9,16,0,15.41,
SG,48,35.8,17.6,6.0,14.6,40.9,2.7,7.0,38.8,2.9,3.5,84.3,3.8,6.6,1.9,0.3,2.3,6,0,16.08,
